miRNA_ID	Patient1
hsa-mir-4752	0
hsa-mir-4753	0
hsa-mir-4754	0.839231609
hsa-mir-4755	0.479797592
hsa-mir-4756	0
hsa-mir-4757	0
hsa-mir-4758	0
hsa-mir-4759	0
hsa-mir-4760	0
hsa-mir-4761	0
hsa-mir-4762	0
hsa-mir-4763	0
hsa-mir-4764	0
hsa-mir-4765	0
hsa-mir-4766	0
hsa-mir-4767	0
hsa-mir-4768	0.479797592
hsa-mir-4769	0
hsa-mir-4770	0
hsa-mir-4771-1	0.479797592
hsa-mir-4771-2	0
hsa-mir-4772	2.186162981
hsa-mir-4773-1	0
hsa-mir-4773-2	0
hsa-mir-4774	0
hsa-mir-4775	0
hsa-mir-4776-1	0
hsa-mir-4776-2	0
hsa-mir-4777	0.479797592
hsa-mir-4778	0
hsa-mir-4779	0
hsa-mir-4780	0
hsa-mir-4781	0.479797592
hsa-mir-4782	0
hsa-mir-4783	0
hsa-mir-4784	0
hsa-mir-4785	0.479797592
hsa-mir-4786	1.126738333
hsa-mir-4787	0
hsa-mir-4788	1.366360266
hsa-mir-4789	0
hsa-mir-4790	0
hsa-mir-4791	0.479797592
hsa-mir-4792	0
hsa-mir-4793	0
hsa-mir-4794	0
hsa-mir-4795	0
hsa-mir-4796	0
hsa-mir-4797	0
hsa-mir-4798	0
hsa-mir-4799	0
hsa-mir-4800	0
hsa-mir-4801	0
hsa-mir-4802	0
hsa-mir-4803	0
hsa-mir-4804	0
hsa-mir-483	0
hsa-mir-484	5.236224375
hsa-mir-485	1.126738333
hsa-mir-486-1	3.999353798
hsa-mir-486-2	3.963315696
hsa-mir-487a	0
hsa-mir-487b	0
hsa-mir-488	0
hsa-mir-489	0
hsa-mir-490	0
hsa-mir-491	1.751587975
hsa-mir-492	0
hsa-mir-493	2.615681834
hsa-mir-494	0.479797592
hsa-mir-495	0.479797592
hsa-mir-496	1.126738333
hsa-mir-497	3.682174254
hsa-mir-498	0
hsa-mir-4999	1.366360266
hsa-mir-499a	0
hsa-mir-499b	0
hsa-mir-5000	0.839231609
hsa-mir-5001	0.839231609
hsa-mir-5002	0
hsa-mir-5003	0
hsa-mir-5004	0
hsa-mir-5006	0
hsa-mir-5007	0
hsa-mir-5008	0
hsa-mir-5009	0
hsa-mir-500a	9.077743731
hsa-mir-500b	2.416848117
hsa-mir-501	5.911265972
hsa-mir-5010	1.126738333
hsa-mir-5011	0
hsa-mir-502	4.135126694
hsa-mir-503	0.479797592
hsa-mir-504	1.571793774
hsa-mir-5047	0
hsa-mir-505	3.849463102
hsa-mir-506	0
hsa-mir-507	0
hsa-mir-508	2.055329642
hsa-mir-5087	0
hsa-mir-5088	0
hsa-mir-5089	0.479797592
hsa-mir-509-1	0
hsa-mir-509-2	0.479797592
hsa-mir-509-3	0.479797592
hsa-mir-5090	0
hsa-mir-5091	2.055329642
hsa-mir-5092	0
hsa-mir-5093	0.479797592
hsa-mir-5094	0
hsa-mir-5095	0
hsa-mir-5096	0
hsa-mir-510	0
hsa-mir-5100	0
hsa-mir-511	4.858624045
hsa-mir-512-1	0
hsa-mir-512-2	0
hsa-mir-513a-1	0
hsa-mir-513a-2	0
hsa-mir-513b	0
hsa-mir-513c	0
hsa-mir-514a-1	0
hsa-mir-514a-2	0.479797592
hsa-mir-514a-3	0
hsa-mir-514b	0
hsa-mir-515-1	0
hsa-mir-515-2	0
hsa-mir-516a-1	0.479797592
hsa-mir-516a-2	0
hsa-mir-516b-1	0
hsa-mir-516b-2	0
hsa-mir-517a	0
hsa-mir-517b	0
hsa-mir-517c	0
hsa-mir-5186	0
hsa-mir-5187	1.126738333
hsa-mir-5188	0
hsa-mir-5189	0
hsa-mir-518a-1	0
hsa-mir-518a-2	0.479797592
hsa-mir-518b	0
hsa-mir-518c	0
hsa-mir-518d	0
hsa-mir-518e	0
hsa-mir-518f	0.479797592
hsa-mir-5190	0
hsa-mir-5191	0
hsa-mir-5192	0
hsa-mir-5193	0.479797592
hsa-mir-5194	0
hsa-mir-5195	0
hsa-mir-5196	0
hsa-mir-5197	0
hsa-mir-519a-1	0
hsa-mir-519a-2	0
hsa-mir-519b	0
hsa-mir-519c	0
hsa-mir-519d	0
hsa-mir-519e	0
hsa-mir-520a	0
hsa-mir-520b	0
hsa-mir-520c	0
hsa-mir-520d	0
hsa-mir-520e	0
hsa-mir-520f	0
hsa-mir-520g	0
hsa-mir-520h	0
hsa-mir-521-1	0
hsa-mir-521-2	0
hsa-mir-522	0
hsa-mir-523	0
hsa-mir-524	0
hsa-mir-525	0.479797592
hsa-mir-526a-1	0
hsa-mir-526a-2	0
hsa-mir-526b	0.479797592
hsa-mir-527	0
hsa-mir-532	10.93687847
hsa-mir-539	0.479797592
hsa-mir-541	0
hsa-mir-542	6.889660803
hsa-mir-543	0.479797592
hsa-mir-544a	0
hsa-mir-544b	0
hsa-mir-545	0
hsa-mir-548a-1	0
hsa-mir-548a-2	0
hsa-mir-548a-3	0
hsa-mir-548aa-1	0
hsa-mir-548aa-2	0
hsa-mir-548ab	0
hsa-mir-548ac	0
hsa-mir-548ad	0
hsa-mir-548ae-1	0
hsa-mir-548ae-2	0
hsa-mir-548ag-1	0.479797592
hsa-mir-548ag-2	1.751587975
hsa-mir-548ah	0
hsa-mir-548ai	0
hsa-mir-548aj-1	0
hsa-mir-548aj-2	0
hsa-mir-548ak	0
hsa-mir-548al	0
hsa-mir-548am	0
hsa-mir-548an	0
hsa-mir-548ao	0
hsa-mir-548ap	0
hsa-mir-548aq	0
hsa-mir-548ar	0
hsa-mir-548as	0
hsa-mir-548at	0
hsa-mir-548au	0
hsa-mir-548av	0
hsa-mir-548aw	0.839231609
hsa-mir-548ax	0
hsa-mir-548ay	0
hsa-mir-548az	0
hsa-mir-548b	0.479797592
hsa-mir-548ba	0
hsa-mir-548bb	0
hsa-mir-548c	0
hsa-mir-548d-1	0
hsa-mir-548d-2	0
hsa-mir-548e	0
hsa-mir-548f-1	0
hsa-mir-548f-2	0
hsa-mir-548f-3	0
hsa-mir-548f-4	0
hsa-mir-548f-5	0
hsa-mir-548g	0
hsa-mir-548h-1	0
hsa-mir-548h-2	0
hsa-mir-548h-3	0
hsa-mir-548h-4	0
hsa-mir-548h-5	0
hsa-mir-548i-1	0
hsa-mir-548i-2	0
hsa-mir-548i-3	0
hsa-mir-548i-4	0
hsa-mir-548j	0.479797592
hsa-mir-548k	0.839231609
hsa-mir-548l	0.479797592
hsa-mir-548m	0
hsa-mir-548n	0
hsa-mir-548o	0
hsa-mir-548o-2	0.479797592
hsa-mir-548p	0
hsa-mir-548q	0
hsa-mir-548s	0
hsa-mir-548t	0.479797592
hsa-mir-548u	0
hsa-mir-548v	0
hsa-mir-548w	0
hsa-mir-548x	0
hsa-mir-548x-2	0
hsa-mir-548y	0
hsa-mir-548z	0
hsa-mir-549a	1.126738333
hsa-mir-550a-1	1.126738333
hsa-mir-550a-2	0.479797592
hsa-mir-550a-3	0
hsa-mir-550b-1	0
hsa-mir-550b-2	0
hsa-mir-551a	0.479797592
hsa-mir-551b	0
hsa-mir-552	2.416848117
hsa-mir-553	0
hsa-mir-554	0
hsa-mir-555	0
hsa-mir-556	0
hsa-mir-557	0
hsa-mir-5571	0
hsa-mir-5572	0
hsa-mir-5579	0
hsa-mir-558	0
hsa-mir-5580	0.479797592
hsa-mir-5581	0.479797592
hsa-mir-5582	0
hsa-mir-5583-1	0
hsa-mir-5583-2	0
hsa-mir-5584	0
hsa-mir-5585	0
hsa-mir-5586	0
hsa-mir-5587	0
hsa-mir-5588	0
hsa-mir-5589	0
hsa-mir-559	0.479797592
hsa-mir-5590	0
hsa-mir-5591	0
hsa-mir-561	0.479797592
hsa-mir-562	0
hsa-mir-563	0
hsa-mir-564	0
hsa-mir-566	0
hsa-mir-567	0
hsa-mir-568	0
hsa-mir-5680	0
hsa-mir-5681a	0
hsa-mir-5681b	0
hsa-mir-5682	0
hsa-mir-5683	0
hsa-mir-5684	0
hsa-mir-5685	0.479797592
hsa-mir-5687	1.126738333
hsa-mir-5688	0
hsa-mir-5689	0
hsa-mir-569	0
hsa-mir-5690	0
hsa-mir-5691	0.839231609
hsa-mir-5692a-1	0
hsa-mir-5692a-2	0
hsa-mir-5692b	0
hsa-mir-5692c-1	0
hsa-mir-5692c-2	0
hsa-mir-5693	0
hsa-mir-5694	0
hsa-mir-5695	0
hsa-mir-5696	0
hsa-mir-5697	0
hsa-mir-5698	2.416848117
hsa-mir-5699	0.839231609
hsa-mir-570	0
hsa-mir-5700	0
hsa-mir-5701-1	0
hsa-mir-5701-2	0
hsa-mir-5701-3	0
hsa-mir-5702	0
hsa-mir-5703	0.839231609
hsa-mir-5704	0
hsa-mir-5705	0
hsa-mir-5706	0
hsa-mir-5707	0
hsa-mir-5708	0
hsa-mir-571	0
hsa-mir-572	0
hsa-mir-573	0
hsa-mir-5739	0
hsa-mir-574	5.352242171
hsa-mir-575	0
hsa-mir-576	1.911437722
hsa-mir-577	1.751587975
hsa-mir-578	0.479797592
hsa-mir-5787	0
hsa-mir-579	0.479797592
hsa-mir-580	0
hsa-mir-581	0.479797592
hsa-mir-582	8.617601359
hsa-mir-583	0
hsa-mir-584	4.135126694
hsa-mir-585	0.479797592
hsa-mir-586	0
hsa-mir-587	0
hsa-mir-588	0
hsa-mir-589	5.485261294
hsa-mir-590	2.306111429
hsa-mir-591	0
hsa-mir-592	0.839231609
hsa-mir-593	0
hsa-mir-595	0
hsa-mir-596	0
hsa-mir-597	0
hsa-mir-598	3.44144457
hsa-mir-599	0.479797592
hsa-mir-600	0.479797592
hsa-mir-601	0
hsa-mir-602	0
hsa-mir-603	0
hsa-mir-604	0
hsa-mir-605	0
hsa-mir-606	0
hsa-mir-6068	0
hsa-mir-6069	0
hsa-mir-607	0
hsa-mir-6070	0
hsa-mir-6071	0
hsa-mir-6072	0
hsa-mir-6073	0
hsa-mir-6074	0
hsa-mir-6075	0
hsa-mir-6076	0
hsa-mir-6077	0
hsa-mir-6078	0
hsa-mir-6079	0
hsa-mir-608	0
hsa-mir-6080	0
hsa-mir-6081	0
hsa-mir-6082	0
hsa-mir-6083	0
hsa-mir-6084	0
hsa-mir-6085	0
hsa-mir-6086	0
hsa-mir-6087	0.479797592
hsa-mir-6088	0
hsa-mir-6089-1	0
hsa-mir-6089-2	0
hsa-mir-609	0
hsa-mir-6090	0
hsa-mir-610	0
hsa-mir-611	0
hsa-mir-612	0
hsa-mir-6124	0
hsa-mir-6125	0.479797592
hsa-mir-6126	0
hsa-mir-6127	0
hsa-mir-6128	0
hsa-mir-6129	0
hsa-mir-613	0
hsa-mir-6130	0
hsa-mir-6131	0
hsa-mir-6132	0
hsa-mir-6133	0
hsa-mir-6134	0
hsa-mir-614	0
hsa-mir-615	0
hsa-mir-616	0.479797592
hsa-mir-6165	0
hsa-mir-617	0
hsa-mir-618	0.479797592
hsa-mir-619	0
hsa-mir-620	0
hsa-mir-621	0
hsa-mir-622	0
hsa-mir-623	0
hsa-mir-624	1.366360266
hsa-mir-625	8.051738352
hsa-mir-626	0
hsa-mir-627	1.126738333
hsa-mir-628	3.275016288
hsa-mir-629	6.469067392
hsa-mir-630	0
hsa-mir-631	0
hsa-mir-632	0.839231609
hsa-mir-633	0
hsa-mir-634	0
hsa-mir-635	0
hsa-mir-636	0
hsa-mir-637	0
hsa-mir-638	0
hsa-mir-639	0
hsa-mir-640	0
hsa-mir-641	0
hsa-mir-642a	1.126738333
hsa-mir-642b	0
hsa-mir-643	0
hsa-mir-644a	0
hsa-mir-645	0
hsa-mir-646	0
hsa-mir-647	0
hsa-mir-648	0
hsa-mir-649	0
hsa-mir-6499	0
hsa-mir-650	0
hsa-mir-6500	0
hsa-mir-6501	0
hsa-mir-6502	0
hsa-mir-6503	0
hsa-mir-6504	0
hsa-mir-6505	0
hsa-mir-6506	0
hsa-mir-6507	0.479797592
hsa-mir-6508	0
hsa-mir-6509	0.479797592
hsa-mir-651	1.571793774
hsa-mir-6510	2.416848117
hsa-mir-6511a-1	0
hsa-mir-6511a-2	0
hsa-mir-6511a-3	0
hsa-mir-6511a-4	0
hsa-mir-6511b-1	0.479797592
hsa-mir-6511b-2	0.839231609
hsa-mir-6512	0
hsa-mir-6513	0
hsa-mir-6514	0
hsa-mir-6515	0
hsa-mir-6516	1.126738333
hsa-mir-652	5.29539919
hsa-mir-653	2.790401726
hsa-mir-654	2.705685132
hsa-mir-655	0.839231609
hsa-mir-656	0
hsa-mir-657	0
hsa-mir-658	0.479797592
hsa-mir-659	1.571793774
hsa-mir-660	6.232182555
hsa-mir-661	0
hsa-mir-662	0
hsa-mir-663a	0
hsa-mir-663b	0
hsa-mir-664a	5.966927208
hsa-mir-664b	3.542605245
hsa-mir-665	0.839231609
hsa-mir-668	0
hsa-mir-670	0
hsa-mir-671	2.519687576
hsa-mir-6715a	0.479797592
hsa-mir-6715b	0
hsa-mir-6716	1.126738333
hsa-mir-6717	0
hsa-mir-6718	3.086854744
hsa-mir-6719	0
hsa-mir-6720	1.751587975
hsa-mir-6721	0
hsa-mir-6722	0
hsa-mir-6723	0
hsa-mir-6724-1	0
hsa-mir-6724-2	0
hsa-mir-6724-3	0
hsa-mir-6724-4	0
hsa-mir-6726	0
hsa-mir-6727	0
hsa-mir-6728	0
hsa-mir-6729	0
hsa-mir-6730	0
hsa-mir-6731	0
hsa-mir-6732	0
hsa-mir-6733	0.479797592
hsa-mir-6734	0.479797592
hsa-mir-6735	0
hsa-mir-6736	0
hsa-mir-6737	0.479797592
hsa-mir-6738	0
hsa-mir-6739	0
hsa-mir-6740	0
hsa-mir-6741	0
hsa-mir-6742	0
hsa-mir-6743	0
hsa-mir-6744	0
hsa-mir-6745	0
hsa-mir-6746	0
hsa-mir-6747	0
hsa-mir-6748	0.839231609
hsa-mir-6749	0.479797592
hsa-mir-675	0.839231609
hsa-mir-6750	0
hsa-mir-6751	0
hsa-mir-6752	0
hsa-mir-6753	0
hsa-mir-6754	0
hsa-mir-6755	1.366360266
hsa-mir-6756	0
hsa-mir-6757	0
hsa-mir-6758	0
hsa-mir-6759	0
hsa-mir-676	0.479797592
hsa-mir-6760	0
hsa-mir-6761	1.751587975
hsa-mir-6762	0
hsa-mir-6763	0
hsa-mir-6764	0
hsa-mir-6765	0.479797592
hsa-mir-6766	0
hsa-mir-6767	0
hsa-mir-6768	0
hsa-mir-6769a	0
hsa-mir-6769b	0
hsa-mir-6770-1	0
hsa-mir-6770-2	0
hsa-mir-6770-3	0
hsa-mir-6771	0
hsa-mir-6772	0
hsa-mir-6773	0.479797592
hsa-mir-6774	0
hsa-mir-6775	0
hsa-mir-6776	0
hsa-mir-6777	0.839231609
hsa-mir-6778	0
hsa-mir-6779	0
hsa-mir-6780a	0
hsa-mir-6780b	0
hsa-mir-6781	0
hsa-mir-6782	0
hsa-mir-6783	0
hsa-mir-6784	0
hsa-mir-6785	0
hsa-mir-6786	0
hsa-mir-6787	0
hsa-mir-6788	0
hsa-mir-6789	0
hsa-mir-6790	0
hsa-mir-6791	0
hsa-mir-6792	0
hsa-mir-6793	0.839231609
hsa-mir-6794	0
hsa-mir-6795	0
hsa-mir-6796	0
hsa-mir-6797	0
hsa-mir-6798	1.126738333
hsa-mir-6799	0
hsa-mir-6800	0
hsa-mir-6801	0
hsa-mir-6802	0.479797592
hsa-mir-6803	0
hsa-mir-6804	0
hsa-mir-6805	0
hsa-mir-6806	1.366360266
hsa-mir-6807	0
hsa-mir-6808	0
hsa-mir-6809	0
hsa-mir-6810	0
hsa-mir-6811	0
hsa-mir-6812	0
hsa-mir-6813	0
hsa-mir-6814	0
hsa-mir-6815	0.479797592
hsa-mir-6816	0
hsa-mir-6817	0
hsa-mir-6818	0
hsa-mir-6819	0
hsa-mir-6820	0
hsa-mir-6821	0
hsa-mir-6822	0
hsa-mir-6823	0
hsa-mir-6824	0
hsa-mir-6825	0
hsa-mir-6826	0
hsa-mir-6827	0
hsa-mir-6828	0
hsa-mir-6829	0
hsa-mir-6830	0
hsa-mir-6831	0
hsa-mir-6832	0
hsa-mir-6833	0
hsa-mir-6834	0
hsa-mir-6835	0
hsa-mir-6836	0
hsa-mir-6837	0
hsa-mir-6838	0
hsa-mir-6839	0
hsa-mir-6840	0
hsa-mir-6841	0
hsa-mir-6842	1.751587975
hsa-mir-6843	0
hsa-mir-6844	0
hsa-mir-6845	0
hsa-mir-6846	0
hsa-mir-6847	0
hsa-mir-6848	0
hsa-mir-6849	0
hsa-mir-6850	0
hsa-mir-6851	0
hsa-mir-6852	0
hsa-mir-6853	0
hsa-mir-6854	0.479797592
hsa-mir-6855	0
hsa-mir-6856	0
hsa-mir-6857	0
hsa-mir-6858	0
hsa-mir-6859-1	0
hsa-mir-6859-2	0
hsa-mir-6859-3	0
hsa-mir-6859-4	0
hsa-mir-6860	0
hsa-mir-6861	0
hsa-mir-6862-1	0
hsa-mir-6862-2	0
hsa-mir-6863	0
hsa-mir-6864	0
hsa-mir-6865	0
hsa-mir-6866	0
hsa-mir-6867	0
hsa-mir-6868	0.839231609
hsa-mir-6869	0
hsa-mir-6870	0
hsa-mir-6871	0
hsa-mir-6872	0
hsa-mir-6873	0
hsa-mir-6874	0
hsa-mir-6875	0
hsa-mir-6876	0
hsa-mir-6877	1.126738333
hsa-mir-6878	0
hsa-mir-6879	0.479797592
hsa-mir-6880	0
hsa-mir-6881	0
hsa-mir-6882	0
hsa-mir-6883	0
hsa-mir-6884	0
hsa-mir-6885	0
hsa-mir-6886	0
hsa-mir-6887	0
hsa-mir-6888	0
hsa-mir-6889	0
hsa-mir-6890	0
hsa-mir-6891	0
hsa-mir-6892	0.839231609
hsa-mir-6893	0
hsa-mir-6894	0
hsa-mir-6895	0.479797592
hsa-mir-7-1	4.229178204
hsa-mir-7-2	1.126738333
hsa-mir-7-3	0
hsa-mir-708	5.708498425
hsa-mir-7106	0
hsa-mir-7107	0
hsa-mir-7108	0
hsa-mir-7109	0.479797592
hsa-mir-711	0
hsa-mir-7110	0
hsa-mir-7111	0
hsa-mir-7112	0
hsa-mir-7113	0
hsa-mir-7114	0
hsa-mir-7150	0
hsa-mir-7151	0
hsa-mir-7152	0
hsa-mir-7153	0
hsa-mir-7154	0
hsa-mir-7155	0
hsa-mir-7156	0
hsa-mir-7157	0
hsa-mir-7158	0
hsa-mir-7159	0
hsa-mir-7160	0
hsa-mir-7161	0
hsa-mir-7162	0
hsa-mir-718	0
hsa-mir-744	5.853370793
hsa-mir-7515	0
hsa-mir-758	2.186162981
hsa-mir-759	0
hsa-mir-760	0.839231609
hsa-mir-761	0
hsa-mir-762	0
hsa-mir-764	0
hsa-mir-7641-1	0
hsa-mir-7641-2	0
hsa-mir-765	0
hsa-mir-766	3.086854744
hsa-mir-767	0
hsa-mir-769	4.777931735
hsa-mir-770	0
hsa-mir-7702	1.366360266
hsa-mir-7703	0
hsa-mir-7704	0
hsa-mir-7705	0.839231609
hsa-mir-7706	1.751587975
hsa-mir-7843	0
hsa-mir-7844	0
hsa-mir-7845	0.479797592
hsa-mir-7846	0.839231609
hsa-mir-7847	0
hsa-mir-7848	0
hsa-mir-7849	0
hsa-mir-7850	0
hsa-mir-7851	0
hsa-mir-7852	0
hsa-mir-7853	0
hsa-mir-7854	0
hsa-mir-7855	0
hsa-mir-7856	0
hsa-mir-7973-1	0
hsa-mir-7973-2	0
hsa-mir-7974	0
hsa-mir-7975	0
hsa-mir-7976	0.479797592
hsa-mir-7977	0
hsa-mir-7978	0
hsa-mir-802	0
hsa-mir-8052	0
hsa-mir-8053	0
hsa-mir-8054	0
hsa-mir-8055	0
hsa-mir-8056	0
hsa-mir-8057	0
hsa-mir-8058	0
hsa-mir-8059	0
hsa-mir-8060	0
hsa-mir-8061	0
hsa-mir-8062	0
hsa-mir-8063	0
hsa-mir-8064	0
hsa-mir-8065	0
hsa-mir-8066	0
hsa-mir-8067	0
hsa-mir-8068	0
hsa-mir-8069-1	0
hsa-mir-8069-2	0
hsa-mir-8070	0
hsa-mir-8071-1	0
hsa-mir-8071-2	0
hsa-mir-8072	0
hsa-mir-8073	0
hsa-mir-8074	0
hsa-mir-8075	0
hsa-mir-8076	0
hsa-mir-8077	0
hsa-mir-8078	0
hsa-mir-8079	0
hsa-mir-8080	0
hsa-mir-8081	0
hsa-mir-8082	0
hsa-mir-8083	0
hsa-mir-8084	0
hsa-mir-8085	0
hsa-mir-8086	0
hsa-mir-8087	0
hsa-mir-8088	0
hsa-mir-8089	0
hsa-mir-8485	0
hsa-mir-873	0
hsa-mir-874	2.790401726
hsa-mir-875	0
hsa-mir-876	0
hsa-mir-877	0.479797592
hsa-mir-885	0.479797592
hsa-mir-887	1.126738333
hsa-mir-888	0
hsa-mir-889	2.306111429
hsa-mir-890	0
hsa-mir-891a	2.790401726
hsa-mir-891b	0
hsa-mir-892a	0
hsa-mir-892b	0
hsa-mir-892c	0.479797592
hsa-mir-9-1	5.338240019
hsa-mir-9-2	4.916312923
hsa-mir-9-3	5.025199949
hsa-mir-920	0
hsa-mir-921	0
hsa-mir-922	0
hsa-mir-924	0
hsa-mir-92a-1	13.64480626
hsa-mir-92a-2	13.51039041
hsa-mir-92b	8.597169021
hsa-mir-93	12.00014484
hsa-mir-933	0
hsa-mir-934	1.366360266
hsa-mir-935	0
hsa-mir-936	0
hsa-mir-937	2.306111429
hsa-mir-938	0
hsa-mir-939	1.571793774
hsa-mir-940	0.839231609
hsa-mir-941-1	0
hsa-mir-941-2	0
hsa-mir-941-3	0
hsa-mir-941-4	0
hsa-mir-941-5	0
hsa-mir-942	2.186162981
hsa-mir-943	0.479797592
hsa-mir-944	0.479797592
hsa-mir-95	2.705685132
hsa-mir-9500	0
hsa-mir-96	4.577960548
hsa-mir-98	6.162374087
hsa-mir-99a	8.089843566
hsa-mir-99b	14.01783582
